y_mm	mean_u	rms_u
5.843020635839999954e+01	1.009576085610000007e+01	1.411616133999999967e-01
5.670567840340000032e+01	1.012933135839999998e+01	1.619573867000000111e-01
5.498115044829999931e+01	1.015280420490000068e+01	1.697540707999999898e-01
5.325662249330000009e+01	1.015641801009999945e+01	1.470226779000000095e-01
5.153209453819999908e+01	1.016205531119999961e+01	1.200424300999999999e-01
4.980756658319999985e+01	1.015533357480000021e+01	1.128894344000000022e-01
4.808303862809999885e+01	1.013184677829999991e+01	8.678849469999999622e-02
4.635851067299999784e+01	1.009265733019999978e+01	1.264437046000000120e-01
4.463398271799999861e+01	1.005207434239999920e+01	1.101758109000000041e-01
4.290945476289999760e+01	1.009120872439999950e+01	1.210617152000000030e-01
4.118492680789999838e+01	1.012561843429999975e+01	1.439338363999999870e-01
3.946039885279999737e+01	1.009117274789999996e+01	9.920408390000000354e-02
3.773587089779999815e+01	1.007129681960000056e+01	1.468929627999999987e-01
3.601134294269999714e+01	1.009770652519999956e+01	1.419939721000000044e-01
3.428681498769999791e+01	1.008178287510000004e+01	9.937101449999999336e-02
3.256228703259999691e+01	1.010224911210000087e+01	1.336673569999999867e-01
3.083775907749999590e+01	1.011890330589999998e+01	1.105767955000000052e-01
2.911323112249999667e+01	1.007519256319999990e+01	1.038715904999999995e-01
2.738870316739999566e+01	1.005891061630000038e+01	1.174738369999999976e-01
2.566417521239999644e+01	1.006939593749999950e+01	1.465560958999999885e-01
2.393964725729999543e+01	1.007226010940000016e+01	1.528966714999999976e-01
2.221511930229999621e+01	1.007590989110000024e+01	1.185507695000000000e-01
2.049059134719999520e+01	1.006484674280000036e+01	1.079619928000000034e-01
1.876606339219999597e+01	1.003492308520000087e+01	9.013439750000000472e-02
1.704153543709999497e+01	9.980124965099999912e+00	1.219502528000000058e-01
1.531700748209999574e+01	9.975157267900000235e+00	1.039659485000000022e-01
1.359247952700000184e+01	1.003639445159999966e+01	1.554565458000000122e-01
1.186795157190000083e+01	1.001903614579999946e+01	1.457437216999999952e-01
1.014342361690000160e+01	9.968357704800000718e+00	1.041918916999999972e-01
8.418895661800000596e+00	9.885371610900000050e+00	1.283480167999999921e-01
6.694367706800001372e+00	9.848537523899999258e+00	1.396969466999999909e-01
4.969839751700000363e+00	9.853701256400000830e+00	1.304916829999999972e-01
3.245311796700001139e+00	9.879304060000000831e+00	1.513275742000000090e-01
1.520783841600000130e+00	9.847240166400000660e+00	1.897192635000000127e-01
-2.037441133999990939e-01	9.796607980899999291e+00	2.259351417000000084e-01
-1.928272068500000103e+00	9.797436909400000005e+00	3.803011146999999981e-01
-3.652800023600001111e+00	9.748512507599999211e+00	5.994574579000000458e-01
-5.377327978600000336e+00	9.552318571000000702e+00	7.580161872999999773e-01
-7.101855933700001344e+00	9.332253843600000209e+00	1.041097559700000064e+00
-8.826383888700000568e+00	8.998493754800000133e+00	1.201588467099999891e+00
-1.055091184380000158e+01	8.636964194700000874e+00	6.853824759000000100e-01
-1.227543979880000080e+01	8.747862197599999945e+00	1.046212742300000054e+00
-1.399996775390000181e+01	9.075545924900000117e+00	1.263598228300000015e+00
-1.572449570890000103e+01	9.491132048200000781e+00	9.017832421000000487e-01
-1.744902366400000204e+01	9.810297415499999119e+00	6.890929678999999641e-01
-1.917355161909999950e+01	9.881168231300000215e+00	5.563326186000000506e-01
-2.089807957409999872e+01	9.917184403100000267e+00	3.051615511999999919e-01
-2.262260752919999973e+01	9.941585297099999607e+00	1.768051827000000076e-01
-2.434713548419999896e+01	9.866820206099999879e+00	2.259494129999999878e-01
-2.607166343929999996e+01	9.840204920299999714e+00	1.845357300999999894e-01
-2.779619139429999919e+01	9.905218904899999899e+00	1.292031590000000119e-01
-2.952071934940000020e+01	9.982622763800000243e+00	1.536519147000000030e-01
-3.124524730439999942e+01	9.917661642700000613e+00	1.606593866999999898e-01
-3.296977525949999688e+01	9.988677098900000217e+00	1.393164742999999928e-01
-3.469430321459999789e+01	1.001456991729999935e+01	1.527708798999999895e-01
-3.641883116959999711e+01	9.954682220400000503e+00	1.560152029000000107e-01
-3.814335912469999812e+01	1.004292308940000034e+01	1.344312615999999905e-01
-3.986788707969999734e+01	1.008396055609999920e+01	1.398159583999999955e-01
-4.159241503479999835e+01	1.008652076309999934e+01	1.232391667999999940e-01
-4.331694298979999758e+01	1.010390329800000053e+01	1.039715813000000044e-01
-4.504147094489999859e+01	1.008377479980000047e+01	1.056334765000000037e-01
-4.676599889989999781e+01	1.008032252189999944e+01	9.705472749999999316e-02
-4.849052685499999882e+01	1.011800462699999947e+01	1.269702628000000111e-01
-5.021505480999999804e+01	1.014965809459999946e+01	1.349039009000000122e-01
-5.193958276509999905e+01	1.014376675519999971e+01	1.151576762000000032e-01
-5.366411072020000006e+01	1.016406779389999926e+01	7.825199169999999538e-02
-5.538863867519999928e+01	1.015100464450000040e+01	9.568536530000000540e-02
-5.711316663030000029e+01	1.014681080969999982e+01	1.180440809999999952e-01
-5.883769458529999952e+01	1.016742535799999914e+01	1.297349255999999951e-01
-6.056222254040000053e+01	1.016685854420000013e+01	1.106423586000000042e-01
-6.228675049539999975e+01	1.015905163849999937e+01	1.323782363999999878e-01
-6.401127845050000076e+01	1.014714781430000023e+01	1.219142992000000064e-01
-6.573580640549999998e+01	1.015112432149999933e+01	1.218525792999999996e-01
-6.746033436060000099e+01	1.020212581700000065e+01	1.070498914999999940e-01
-6.918486231570000200e+01	1.022138794169999976e+01	1.175137140999999996e-01
-7.090939027070000122e+01	1.015733431009999954e+01	1.230840294999999973e-01
