y_mm	mean_u	rms_u
5.843020635839999954e+01	1.069877585989999957e+01	1.078767894000000060e-01
5.670567840340000032e+01	1.069939333449999985e+01	1.371190613000000114e-01
5.498115044829999931e+01	1.074419952559999913e+01	1.318673146999999879e-01
5.325662249330000009e+01	1.082084347229999999e+01	1.423495958999999866e-01
5.153209453819999908e+01	1.076897633759999984e+01	1.143741543000000027e-01
4.980756658319999985e+01	1.069496381669999963e+01	1.321115559000000106e-01
4.808303862809999885e+01	1.073457470409999992e+01	1.552310614999999894e-01
4.635851067299999784e+01	1.074759453479999927e+01	1.728078651000000132e-01
4.463398271799999861e+01	1.081251086870000044e+01	1.571401460999999888e-01
4.290945476289999760e+01	1.087618417710000074e+01	1.446605139999999901e-01
4.118492680789999838e+01	1.088855936719999917e+01	1.532016459999999969e-01
3.946039885279999737e+01	1.087635671750000022e+01	1.191868175000000002e-01
3.773587089779999815e+01	1.085377741039999933e+01	1.545760845999999966e-01
3.601134294269999714e+01	1.086696757890000065e+01	2.016831557000000053e-01
3.428681498769999791e+01	1.088915848639999950e+01	2.238041292000000071e-01
3.256228703259999691e+01	1.090694483949999949e+01	2.687565667999999852e-01
3.083775907749999590e+01	1.093328038940000013e+01	2.825670090999999884e-01
2.911323112249999667e+01	1.091354836720000065e+01	3.289159690999999830e-01
2.738870316739999566e+01	1.091825688660000004e+01	3.989973662999999893e-01
2.566417521239999644e+01	1.094262400669999913e+01	4.717289117999999837e-01
2.393964725729999543e+01	1.098953445739999957e+01	5.875997514999999893e-01
2.221511930229999621e+01	1.099813358089999937e+01	6.889108367999999816e-01
2.049059134719999520e+01	1.099463284479999992e+01	8.276936286999999615e-01
1.876606339219999597e+01	1.103851025430000021e+01	1.065874004599999925e+00
1.704153543709999497e+01	1.096103737910000042e+01	1.284697358400000100e+00
1.531700748209999574e+01	1.070137791700000029e+01	1.327788974499999997e+00
1.359247952700000184e+01	9.744632916700000536e+00	2.210369563300000006e+00
1.186795157190000083e+01	8.619148473099999208e+00	2.449563339100000015e+00
1.014342361690000160e+01	5.843845974599999771e+00	3.615874529700000117e+00
8.418895661800000596e+00	3.887871002799999864e+00	4.211509940800000074e+00
6.694367706800001372e+00	2.330904502300000125e+00	3.776216024400000038e+00
4.969839751700000363e+00	1.081975885300000106e+00	3.467263217500000216e+00
3.245311796700001139e+00	4.338284120000000105e-02	2.602050754700000024e+00
1.520783841600000130e+00	-7.981152356999999808e-01	2.259298921100000079e+00
-2.037441133999990939e-01	-8.691876852000000042e-01	1.974918263800000018e+00
-1.928272068500000103e+00	-4.529557283000000267e-01	2.101888778899999810e+00
-3.652800023600001111e+00	-5.209163002000000153e-01	1.888865905400000100e+00
-5.377327978600000336e+00	-3.992322233000000220e-01	2.067924737399999824e+00
-7.101855933700001344e+00	3.500063574000000233e-01	2.583574790400000154e+00
-8.826383888700000568e+00	1.252498277499999979e+00	2.532226194899999783e+00
-1.055091184380000158e+01	1.965662935799999955e+00	1.983336036200000096e+00
-1.227543979880000080e+01	2.536047232200000057e+00	2.153507198299999814e+00
-1.399996775390000181e+01	3.117386747299999872e+00	2.745373701400000144e+00
-1.572449570890000103e+01	4.225209287300000227e+00	2.464324176599999916e+00
-1.744902366400000204e+01	4.941248947100000066e+00	2.251015693499999859e+00
-1.917355161909999950e+01	5.601103555199999917e+00	1.814858523999999917e+00
-2.089807957409999872e+01	6.650750954300000295e+00	1.809063183199999925e+00
-2.262260752919999973e+01	7.531758028999999688e+00	1.708807623500000039e+00
-2.434713548419999896e+01	8.484044143000000204e+00	1.399445032999999894e+00
-2.607166343929999996e+01	9.298673062200000672e+00	1.342310457900000031e+00
-2.779619139429999919e+01	9.820130019800000554e+00	1.422026634500000108e+00
-2.952071934940000020e+01	1.020845768520000085e+01	1.387988712699999905e+00
-3.124524730439999942e+01	1.056608122269999939e+01	1.032362147600000002e+00
-3.296977525949999688e+01	1.099333108199999920e+01	7.023273270000000013e-01
-3.469430321459999789e+01	1.130541715050000029e+01	6.678977932999999867e-01
-3.641883116959999711e+01	1.128719100280000021e+01	5.079952672999999974e-01
-3.814335912469999812e+01	1.127667337609999976e+01	4.209325376999999979e-01
-3.986788707969999734e+01	1.136049941169999933e+01	4.410691122000000020e-01
-4.159241503479999835e+01	1.146847303720000077e+01	3.821054016000000053e-01
-4.331694298979999758e+01	1.137039295579999987e+01	4.036445329000000193e-01
-4.504147094489999859e+01	1.130248102560000056e+01	3.679652739000000006e-01
-4.676599889989999781e+01	1.127391052579999986e+01	3.312530665000000263e-01
-4.849052685499999882e+01	1.129645238800000051e+01	2.831322168000000028e-01
-5.021505480999999804e+01	1.129054489590000010e+01	2.581465437000000085e-01
-5.193958276509999905e+01	1.126096338239999994e+01	2.257230453999999886e-01
-5.366411072020000006e+01	1.129136721639999941e+01	2.493929367999999924e-01
-5.538863867519999928e+01	1.127952212940000010e+01	2.547086060000000041e-01
-5.711316663030000029e+01	1.125889950470000045e+01	2.273718395000000059e-01
-5.883769458529999952e+01	1.122376732749999917e+01	2.128710286999999923e-01
-6.056222254040000053e+01	1.121073501509999915e+01	2.098292915999999952e-01
-6.228675049539999975e+01	1.118975262520000058e+01	2.285130616000000114e-01
-6.401127845050000076e+01	1.118072031490000029e+01	1.683994674000000025e-01
-6.573580640549999998e+01	1.116714615210000083e+01	1.289063756999999921e-01
-6.746033436060000099e+01	1.117958668730000049e+01	8.477389539999999335e-02
-6.918486231570000200e+01	1.115557566140000034e+01	8.271857589999999372e-02
-7.090939027070000122e+01	1.111055140839999922e+01	1.426079476999999873e-01
